user_id,mean_events_per_session,mean_session_duration,mean_session_closed,mean_session_accepted,mean_nb_topics,active_days,mean_events,time_var,weekend_ratio,commit_time_CLOZE_MATH_x,commit_time_CLOZE_TEXT_x,commit_time_CLOZE_TEXT_DROPDOWN_x,commit_time_DND_GROUP_x,commit_time_DND_IN_TEXT_x,commit_time_DND_ORDER_x,commit_time_DND_PAIRS_x,commit_time_FIX_TEXT_x,commit_time_GRAPH_CLICK_POINTS_x,commit_time_GRAPH_SELECT_SHAPE_x,commit_time_GRAPH_SOLUTION_FIELD_x,commit_time_HIGHLIGHT_x,commit_time_MATH_STEP_BY_STEP_x,commit_time_MULTIPLE_CHOICE_x,commit_time_MULTI_COLOR_HIGHLIGHT_x,commit_time_OPEN_TASK_x,commit_time_SEPARATE_TEXT_x,commit_time_SOLUTION_FIELD_x,commit_time_CLOZE_MATH_y,commit_time_CLOZE_TEXT_y,commit_time_CLOZE_TEXT_DROPDOWN_y,commit_time_DND_GROUP_y,commit_time_DND_IN_TEXT_y,commit_time_DND_ORDER_y,commit_time_DND_PAIRS_y,commit_time_FIX_TEXT_y,commit_time_GRAPH_CLICK_POINTS_y,commit_time_GRAPH_SELECT_SHAPE_y,commit_time_GRAPH_SOLUTION_FIELD_y,commit_time_HIGHLIGHT_y,commit_time_MATH_STEP_BY_STEP_y,commit_time_MULTIPLE_CHOICE_y,commit_time_MULTI_COLOR_HIGHLIGHT_y,commit_time_OPEN_TASK_y,commit_time_SEPARATE_TEXT_y,commit_time_SOLUTION_FIELD_y,task_type_diversity,preferred_task_type
387604,18.114754098360656,12963.096278142075,0.9821428571428571,0.8260869565217391,0.9180327868852459,100,8.113237639553429,33.56656064916447,0.04560644780813839,,0 days 00:01:05.039000064,0 days 00:00:48.524999936,17 days 01:54:46.311500032,7 days 20:38:28.539500032,15 days 23:37:36.507500032,1 days 00:15:06.927000064,1 days 03:38:11.718999808,,,,0 days 00:01:48.039500032,,0 days 00:05:46.570999808,0 days 12:20:22.788999936,0 days 01:25:13.166499968,25 days 04:43:41.085999872,,,0 days 00:01:05.039000064,0 days 00:00:48.524999936,17 days 01:54:46.311500032,7 days 20:38:28.539500032,15 days 23:37:36.507500032,1 days 00:15:06.927000064,1 days 03:38:11.718999808,,,,0 days 00:01:48.039500032,,0 days 00:05:46.570999808,0 days 12:20:22.788999936,0 days 01:25:13.166499968,25 days 04:43:41.085999872,,12,CLOZE_TEXT_DROPDOWN
387605,11.074626865671641,29595.66152960199,0.984375,1.0,0.9552238805970149,54,5.748006379585327,34.340946623946316,0.18590455049944507,0 days 00:03:14.523499904,0 days 00:01:03.322000128,0 days 00:01:01.638999808,201 days 08:44:32.490000,0 days 00:00:38.780000256,11 days 09:36:40.265999872,0 days 00:11:10.410000128,0 days 00:01:31.936999936,0 days 00:01:25.619000064,1 days 22:37:57.304500096,31 days 01:28:56.443000064,0 days 09:18:59.422000,5 days 12:08:53.338499840,0 days 00:05:29.750000128,11 days 07:09:13.932000,0 days 00:00:40.947499904,0 days 00:03:13.527499904,0 days 00:02:54.262000,0 days 00:03:14.523499904,0 days 00:01:03.322000128,0 days 00:01:01.638999808,201 days 08:44:32.490000,0 days 00:00:38.780000256,11 days 09:36:40.265999872,0 days 00:11:10.410000128,0 days 00:01:31.936999936,0 days 00:01:25.619000064,1 days 22:37:57.304500096,31 days 01:28:56.443000064,0 days 09:18:59.422000,5 days 12:08:53.338499840,0 days 00:05:29.750000128,11 days 07:09:13.932000,0 days 00:00:40.947499904,0 days 00:03:13.527499904,0 days 00:02:54.262000,18,SOLUTION_FIELD
387608,15.129032258064516,11904.947316666667,1.0,1.0,0.5483870967741935,87,3.762360446570973,14.224331834734159,0.1301398897838067,11 days 20:12:37.528000128,,2 days 00:23:39.792999936,42 days 03:48:40.630000128,,39 days 13:48:04.838999936,11 days 00:57:35.508999936,,34 days 02:14:24.054999808,0 days 00:07:28.003000064,,,0 days 00:04:31.119000064,0 days 00:01:07.614000128,,,,9 days 15:50:39.871000064,11 days 20:12:37.528000128,,2 days 00:23:39.792999936,42 days 03:48:40.630000128,,39 days 13:48:04.838999936,11 days 00:57:35.508999936,,34 days 02:14:24.054999808,0 days 00:07:28.003000064,,,0 days 00:04:31.119000064,0 days 00:01:07.614000128,,,,9 days 15:50:39.871000064,10,MULTIPLE_CHOICE
387613,7.75,1.0197333333333334,0.75,1.0,1.0,5,0.3397129186602871,4.9719084905958155,0.0892018779342723,,,,,,,,,,,,,0 days 00:00:56.690000128,,,,,54 days 22:26:59.431000064,,,,,,,,,,,,,0 days 00:00:56.690000128,,,,,54 days 22:26:59.431000064,2,MATH_STEP_BY_STEP
387615,24.0,9.675450000000001,1.0,1.0,1.0,12,0.8532695374800638,8.69656213495706,0.14579439252336449,,,4 days 10:10:38.096000,,,,,,,,,,,0 days 00:01:13.706000128,,,,,,,4 days 10:10:38.096000,,,,,,,,,,,0 days 00:01:13.706000128,,,,,3,MULTIPLE_CHOICE
387643,38.81818181818182,762.576706060606,0.9090909090909091,1.0,1.0,10,1.6794258373205742,16.230398086123078,0.13010446343779677,,0 days 00:01:49.929499904,0 days 00:24:56.681999872,,,,0 days 00:03:12.407500032,0 days 00:05:50.173500032,,,,0 days 00:01:45.429999872,,0 days 00:00:12.761500032,2 days 14:31:40.856499968,,,,,0 days 00:01:49.929499904,0 days 00:24:56.681999872,,,,0 days 00:03:12.407500032,0 days 00:05:50.173500032,,,,0 days 00:01:45.429999872,,0 days 00:00:12.761500032,2 days 14:31:40.856499968,,,,8,CLOZE_TEXT
387644,18.3,16516.362610833334,1.0,0.8888888888888888,0.95,61,4.964912280701754,25.083669192843402,0.22004497269514936,,0 days 00:01:01.715000064,0 days 00:03:43.204999936,,0 days 00:07:27.734000128,,0 days 00:06:00.027000064,0 days 00:00:24.436000,,,,25 days 22:52:38.988000,,0 days 00:00:30.531000064,52 days 00:11:13.734000128,177 days 00:38:48.061999872,,,,0 days 00:01:01.715000064,0 days 00:03:43.204999936,,0 days 00:07:27.734000128,,0 days 00:06:00.027000064,0 days 00:00:24.436000,,,,25 days 22:52:38.988000,,0 days 00:00:30.531000064,52 days 00:11:13.734000128,177 days 00:38:48.061999872,,,10,CLOZE_TEXT
387650,4.244897959183674,434.43848639455786,1.0,1.0,0.36054421768707484,82,6.716108452950558,23.284785970137715,0.15269532177630016,5 days 18:14:51.408000,,0 days 12:29:07.798499968,,,245 days 02:04:37.323000064,154 days 18:52:47.486999808,,,,,,,0 days 00:04:39.089500032,,,,0 days 00:01:21.627500032,5 days 18:14:51.408000,,0 days 12:29:07.798499968,,,245 days 02:04:37.323000064,154 days 18:52:47.486999808,,,,,,,0 days 00:04:39.089500032,,,,0 days 00:01:21.627500032,13,MULTIPLE_CHOICE
387666,15.428571428571429,3913.4624412698413,1.0,1.0,1.0,18,3.215311004784689,22.580489083351843,0.07837301587301587,0 days 01:53:20.867000064,0 days 00:00:23.234000,0 days 00:10:48.864499968,1 days 11:16:35.246499968,,3 days 04:46:34.724000256,0 days 19:07:22.632000,,0 days 09:39:20.951000064,0 days 00:03:53.697499904,,6 days 18:35:04.119500032,0 days 00:02:35.922999808,0 days 00:05:06.947999872,,,,0 days 08:12:17.196000,0 days 01:53:20.867000064,0 days 00:00:23.234000,0 days 00:10:48.864499968,1 days 11:16:35.246499968,,3 days 04:46:34.724000256,0 days 19:07:22.632000,,0 days 09:39:20.951000064,0 days 00:03:53.697499904,,6 days 18:35:04.119500032,0 days 00:02:35.922999808,0 days 00:05:06.947999872,,,,0 days 08:12:17.196000,15,MULTIPLE_CHOICE
387667,15.851428571428572,2343.710095142857,0.9942857142857143,1.0,1.0,17,7.67304625199362,72.55193110344982,0.28497193930575765,0 days 00:04:05.975000064,0 days 00:00:30.133500032,0 days 00:12:31.160000,0 days 00:20:01.899500032,,0 days 12:17:32.666499968,0 days 00:21:18.781000192,,0 days 00:44:32.040999936,0 days 10:56:42.439000064,0 days 00:03:47.029000192,0 days 00:02:01.468999936,0 days 00:01:36.275000064,0 days 00:02:13.439500032,,,,0 days 00:05:39.360000,0 days 00:04:05.975000064,0 days 00:00:30.133500032,0 days 00:12:31.160000,0 days 00:20:01.899500032,,0 days 12:17:32.666499968,0 days 00:21:18.781000192,,0 days 00:44:32.040999936,0 days 10:56:42.439000064,0 days 00:03:47.029000192,0 days 00:02:01.468999936,0 days 00:01:36.275000064,0 days 00:02:13.439500032,,,,0 days 00:05:39.360000,14,MULTIPLE_CHOICE
